name,price_aed
ALVITYL MULTIVITAMIN SYRUP 150ML (3+)             ,55
ALVITYL TONUS EFF TAB 20'S (15+)                  ,30
AMARYL 1MG TAB 30'S                               ,25
AMARYL 2MG TAB 30'S                               ,39.5
AMARYL 3MG TAB 30'S                               ,57.5
AMARYL 4MG TAB 30'S                               ,68.5
AMARYL M 2MG/500MG TAB 30'S                       ,38
AMLO 10MG TAB 30'S                                ,47
AMLODAR 10MG CAP 28'S                             ,48.5
AMLODAR 5MG CAP 28'S                              ,29.5
AMLOPHAR 5MG CAP 30'S                             ,62
AMNORA 10MG TAB 30'S                              ,59
AMNORA 5MG TAB 30'S                               ,35.5
AMOCLAN BID 1GM TAB 14'S                          ,60.5
AMOCLAN BID 400MG SUSP 70ML                       ,22.5
AMOCLAN FORTE 625MG TAB 15'S                      ,46.5
AMOPRESS 5MG 28'S                                 ,33
AMOXIDIN 125MG/5ML SYRUP 100ML                    ,11.5
AMOXIDIN 250MG/5ML SYRUP 100ML                    ,18.5
AMOXIDIN 500MG CAP 100'S                          ,70.5
AMOXIDIN 500MG CAP 20'S                           ,25
AMOXYDAR 500MG CAP 20'S                           ,23
AMVASC 10MG CAP 30'S                              ,71.5
AMVASC 2.5MG CAP 30'S                             ,25.5
AMVASC 5MG CAP 30'S                               ,43.5
ANGIOVAN 160MG TAB 30'S                           ,74.5
ANGIOVAN 80MG TAB 30'S                            ,59
ANODESYN OINTMENT 25GM                            ,20
ANOGREL 75MG TAB 30'S                             ,131
ANTI LICE SHAMPOO 100ML                           ,0
ANTIPLEX 75MG TAB 30'S                            ,131
APEX 100MG/5ML SYRYP 60ML                         ,18
API SINOCORT 0.05% NASAL SPRAY 12ML               ,26.5
APIGEN EYE DROPS 10ML                             ,5
APIGLUKAN IMUNO MAX SYRUP 100ML                   ,61.95
APILLERGE EYE DROPS 10ML                          ,7
APIMOL 0.5% EYE DROPS                             ,10.5
APISAL JET DEAD SEA ADULT&CHILDREN N/SPRAY 125ML  ,41.25
APISAL JET DEAD SEA BABY N/SPRAY 125ML            ,39
APISAL JET DEAD SEA HYPERTONIC SPRAY 125ML        ,42.75
APISAL JET SPRAY (ADULT&CHILDREN) 125ML           ,25
APISAL SPARKLING NASAL SPRAY 50ML                 ,41
APISAL STUFFY NOSE NASAL DROPS 15ML               ,18
APIVIT B COMPLEX TAB 60'S                         ,78.75
APIVIT K2-D3 FORTE TAB 30'S                       ,68.25
APIVIT K2-D3 FORTE TAB 30'S                       ,68.25
APIVIT MULTI KIDS TEDDIES S/F GUMMY 60'S          ,78.75
APIVIT MULTI SYRUP 100ML                          ,49.35
APPIMAX SYRUP 100ML                               ,45
APROVEL 150MG TAB 28'S                            ,99.5
APROVEL 300MG TAB 28'S                            ,117
APTINCREZ SYRUP 200ML                             ,35
APTIVA SOFTGEL 30'S                               ,66
AQUAX DEO CREAM 75GM                              ,85
AQUAX MOISTURIZER CREAM 150GM                     ,75
AQUAX WHITENING CREAM 50GM                        ,295
"ARBAVAL 160MG TAB 28""S                            ",61.5
ARBAVAL 80MG TAB 28'S                             ,34
ARBAVAL PLUS 160MG/12.5MG TAB 28'S                ,55
ARBAVAL PLUS 160MG/25MG TAB 28'S                  ,58
ARBOLT 20MG TAB 30'S (OLMESARTAN)                 ,41
ARBOLT 40MG TAB 30'S (OLMESARTAN)                 ,54.5
ARBOLT A 40/5MG TAB 30'S (OLMESARTAN+AMLODIPINE)  ,59.5
ARBOLT A 40/5MG TAB 30'S (OLMESARTAN+AMLODIPINE)  ,59.5
ARET CREAM 0.05% 30GM                             ,21
"ARGIN TAB 30""S                                    ",72.5
ARIPSA 0.5MG CAP 30'S (DUTASTERIDE)               ,47
ARISTOZYME CAPS 10'S                              ,25
AROX 0.5% W/V EYE DROPS 5ML                       ,16.5
AROX 400MG TAB 5'S                                ,52
AROX 400MG TAB 7'S                                ,75
ARTELAC ADVANCE 0.5ML 30'S                        ,60.5
ARTELAC COMPLETE MDO E/D 10ML                     ,55
ARTHROMAX 200MG 28'S                              ,80
ARTIZ 10MG TAB 10'S                               ,9
ASA KOR 75MG TAB 30'S                             ,25
"ASA KOR 81MG TAB 30""S                             ",28
ASHFOLATE CAP 60'S                                ,95
ASHROLYTE (COLA FLAVOUR) 21.8GM 10'S              ,22
ASHROLYTE (COLA FLAVOUR) 21.8GM 25'S              ,37.5
ASHVAGANDHA CAPSULES 120'S                        ,72
ASHVAGANDHA CAPSULES 60'S                         ,52
ASPIMED 75MG TAB 56S                              ,31
ASPIRIN PROTECT 100MG TAB 30'S                    ,19.5
ASPIRIN PROTECT 100MG TAB 90'S                    ,53
ASTATIN 10MG TAB 30'S                             ,64.5
ASTATIN 10MG TAB 30'S                             ,64.5
ASTATIN 20MG TAB 30'S                             ,103.5
ASTATIN 40MG TAB 30'S                             ,121.5
ASTHATOR 10MG TAB 30'S                            ,78.5
ASTHAVENT HFA INHALER 200 DOSES                   ,26
ATACAND 16MG TAB 28'S                             ,74
ATACAND PLUS 16/12.5MG TAB 28'S                   ,83.5
ATEROZ 10MG TAB 30'S                              ,64.5
ATEROZ 20MG TAB 30'S                              ,103.5
ATEROZ 40MG TAB 30'S                              ,121.5
ATEROZ 40MG TAB 30'S                              ,121.5
ATORCOR 10MG TAB 28'S                             ,60
ATORCOR 20MG TAB 28'S                             ,96.5
ATORIS 10MG TAB 30'S                              ,64.5
ATORIS 20MG TAB 30'S                              ,103.5
ATORIS 40MG TAB 30'S                              ,121.5
ATORLIP 10MG TAB 30'S                             ,113
ATORLIP 20MG TAB 30'S                             ,181
ATORMIN 50MG TAB 28'S                             ,20
ATORTAB 10MG TAB 30'S                             ,64.5
ATROVENT 500MCG/2ML UDV 20'S                      ,42.5
ATSTAT 10MG TAB 30'S                              ,64.5
ATSTAT 20MG TAB 30'S                              ,103.5
AUGMENTIN 156MG SYRUP 100ML                       ,26.5
AUGMENTIN 1G TAB 14'S                             ,122.5
AUGMENTIN 228MG SYRUP 70ML                        ,22.5
AUGMENTIN 312MG SYRUP 100ML                       ,41
"AUGMENTIN 375MG TAB20""S                           ",55
AUGMENTIN 457MG SYRUP 70ML                        ,41
AUGMENTIN 625MG TAB 20'S                          ,83.5
AUGMENTIN ES 642.9 SYRUP 100ML                    ,65.6
AVOBAN NASAL OINTMENT 3GM                         ,28.5
AVOCOM NASAL SPRAY 0.05%                          ,26.5
AVOCOM-M CREAM 30GM                               ,15.5
AVOTIN A 0.5MG CREAM 30GM                         ,10
AXONE 0.5GM IM INJ 1'S                            ,26
AXONE 1GM IM INJ 1'S                              ,47
AYUBES CAP 60'S                                   ,29.5
AYUGES CAP 30S                                    ,30
AYULAX CAP 30'S                                   ,30
AYURHOIDS CAP 60'S                                ,38
AYURIN PLUS CAP 60`S                              ,38
AYUROL CAP 60S                                    ,50
AYURSLIM CAPSULES 120'S                           ,150
AYUVIGO CAP 60'S                                  ,95
AZALIDE 500MG CAP 3'S (AZITHROMYCIN)              ,32.5
AZEVELOR 0.5MG/ML ORAL SOLN 150ML (DESLORATIDINE) ,12
AZICOV 500MG TAB 3'S                              ,32.5
"AZIGLEN 250MG TAB 6""S                             ",48.5
"AZIJUB 250MG TAB 6""S                              ",29.5
"AZIJUB 500MG TAB 3""S                              ",29.5
"AZIJUB 500MG TAB 6""S                              ",49
AZI-ONCE 200MG/5ML ORAL SUSPENSION 15ML           ,12
AZI-ONCE 200MG/5ML ORAL SUSPENSION 15ML           ,12
AZI-ONCE 200MG/5ML ORAL SUSPENSION 22.5ML         ,17
AZI-ONCE 200MG/5ML ORAL SUSPENSION 30ML           ,22
AZI-ONCE 250MG CAP 6'S                            ,32.5
AZOMYCIN 200MG/5ML SUSP 15ML                      ,21.5
AZOMYCIN 250MG CAP 6'S                            ,56.5
AZORD SUSPENSION 40ML                             ,33.5
AZORD SUSPENSION 80ML                             ,51
AZYTER EYE DROP 15MG 6UD                          ,31
BABYLYTE 240ML BOTTLE                             ,13
"BACICLASI 2 BILLION SPORES ORAL CAP 10""S          ",42.8
BACIZIN ORAL SUSPENSION AMP 10'S                  ,83
"BACOPA PURE  VEG CAP 60""S                         ",95
BACTIFLOX NEO 500MG TAB 10'S                      ,55
BACTOCINE 2% OINTMENT 15GM                        ,21
BALSAM COUGH SYRUP 120ML                          ,20
BANEOCIN POWDER 10GM                              ,6
BATLOR 2.5MG/5ML SYRUP 120ML                      ,9.5
BAVILON OINTMENT 30GM (B-SITOSTEROL)              ,45
BC56 CREAM 20GM                                   ,15
BE TT 0.5ML VIAL IM (TETANUS VACCINE BP)          ,0
"BEAUTY PLUS 30""S                                  ",57
BECLOMET 100MCG/DOSE AQUA NASAL SPRAY 200'S       ,41.5
BECOZYME FORTE TAB 20'S                           ,24
BEDRANOL 10MG TAB 60'S                            ,11.5
BEDRANOL 40MG TAB 60'S                            ,8
BEEAUS KIDS MANUKA HONEY 250 GM                   ,95
BEECUF PROPOLIS COUGH SYP 100ML                   ,40
BEPANTHEN CREAM 100GM+CREAM 30GM                  ,91
BEPANTHEN MOIST CREAM 100GM                       ,91
BEPANTHEN OINTMENT 30GM (2+1) PROMO               ,46
BEPANTHEN OINTMENT 5% 100GM                       ,59
BEPANTHEN PLUS CREAM 5% 30GM                      ,45
"BEROCCA CA+MAG EFF TAB 10""S                       ",26
BESIVANCE SUSPENSION 5ML                          ,157
BETADERM 0.1% CREAM 20GM                          ,6
BETADERM 0.1% OINTMENT 20GM                       ,6
BETADINE COLD DEFENCE ADULT N/SPRY 20ML           ,38
BETASEPT MOUTHWASH 130ML                          ,26
BETASERC 24MG TAB 60'S                            ,102
BETASERC 8MG TAB 4*25'S                           ,100
BETAZOL CREAM 30GM                                ,12
BI PRETERAX ARGININE 10MG 30'S                    ,115
BI PRETERAX ARGININE 5MG 30'S                     ,90
BIOCARE CREAM 60GM                                ,45
BIOCARE DX CREAM 60GM                             ,60
BIOCIUM TAB 30'S                                  ,33
BIO-D 400 IU D3 DROP 50ML                         ,75
BIO-D MAX 200 IU D3 DROP 15ML                     ,135
BIOGLOBIN CAP 30'S                                ,40
"BIOJOINTS TAB 60""S                                ",81.06
"BIOLIVER TAB 30""S                                 ",76.7
BIOROZ 10MG TAB 28'S                              ,48
BIOROZ 20MG TAB 28'S                              ,80.5
BIOROZ 5MG TAB 28'S                               ,39.5
BIOSOFT PLUS EYE DROPS 10ML                       ,58
"BIOSOFT PLUS SD EYE DROPS 30S ,0.50ML             ",93.5
BIOSTATIX 10MG TAB 30'S (ATORVASTATIN)            ,64.5
BIOSTATIX 40MG TAB 30'S (ATORVASTATIN)            ,121.5
BIOZAR HT 100/12.5MG TAB 30'S                     ,37.5
BIOZAR HT 50/12.5MG TAB 30'S                      ,37.5
BIROFOL TAB 30'S                                  ,35
BISOLOL 5MG TAB 30'S                              ,20
BLINK INTENSIVE SOOTHING E/D 0.4ML                ,48
BLOKIUM 100MG TAB 15'S                            ,10
BLOPRESS 16MG PLUS TAB 28'S                       ,89
BLOPRESS 16MG TAB 28'S                            ,86
BLOPRESS 8MG PLUS TAB 28'S                        ,73
BLOPRESS 8MG TAB 28'S                             ,70.5
BLUVISA 50MG TAB 4'S                              ,42
BODYBOOST IMMUNE SUPPORT VIAL 10ML 12'S           ,0
BONNISAN SYRUP 120ML                              ,23
B-PLUS 30'S                                       ,39
BRAINWELL CAPS 30'S                               ,204.75
BREATHLEX COUGH SYRUP 150ML                       ,37
BRESOL SYRUP 100ML                                ,31
BRESOL TAB 60'S (HIMALAYA)                        ,26
BREXIN 20MG TAB 20'S                              ,23.5
BRILINTA 60MG TAB 56'S                            ,300.5
BRIMO EYE DROPS 5ML                               ,39.5
BROFIX EYE DROP 5ML                               ,61
BRONCHICUM ELIXIR SYRUP 100ML                     ,39
BRONCLYN SYRUP 100ML                              ,6.5
BRONCOF HERBAL COUGH SYRUP 150ML                  ,29
BRUFEN 400MG RAPID CAP 20'S                       ,16.5
BRUFEN 600MG SACHETS 20'S                         ,33.5
BRUFEN PAEDIATRIC SYRUP 100ML                     ,15.5
BUDECORT 0.25MG/ML RESPULES                       ,108
BUDECORT 0.5MG/ML RESPULES                        ,120.5
BUDECORT 200 HFA INHALER                          ,57.5
BURNSHIELD HYDROGEL BURNCARE 50ML                 ,0
BUTAFYL 1% CREAM 15GM                             ,22
CACHNERVE PLUS CAP 30'S                           ,50
CALCICARE SYRUP 200ML                             ,33
CALCICARE TAB 30'S                                ,37
"CALCICURE LIQUID VITAMIN D3 STICKS 20""S           ",125
CALCITAMIN SYRUP 200ML                            ,36.75
CALCITAMIN TABLET 30MG TAB                        ,36.75
CALCIUX PLUS TAB 30'S                             ,60
CALCURY TAB 75'S                                  ,20
CALMIDORMIN TAB 30'S                              ,108
CALMIRELAX TAB 30'S                               ,118.5
CALMODENT GEL 75ML                                ,65
CALPROVIT PLUS SYRUP 200ML                        ,30
CALTRATE 600+VIT D TAB 60'S                       ,74.97
"CALVIT-D3(CA,MG,ZINC,VITD3) TAB 30""S              ",39
CAMDOL 160MG CHEW TAB 24'S                        ,19
CAMDOL 500MG TAB 24'S                             ,9
"CAMDOL 500MG TAB 48""S                             ",17
"CAMDOL 500MG TAB 96""S                             ",30
CAMDOL ULTRA 500MG/65MG TAB 24'S                  ,11
CAMDOL ULTRA 500MG/65MG TAB 48'S                  ,20
CAMETOR 120MG TAB 10'S                            ,18.5
CAMETOR 60MG TAB 30'S                             ,61.5
CAMETOR 90MG TAB 30'S                             ,61.5
CAMOCET 5MG TAB 30'S                              ,23
CANDIVAST 150MG CAP 1'S                           ,20.5
CANDIVAST 50MG CAP 7'S                            ,47.5
CANESTEN 1% CREAM 20GM                            ,16
CANESTEN 1% SOLUTION 20ML                         ,16
CANESTEN 100MG VAG TAB 6'S                        ,19.5
CANESTEN 500MG VAG OVULE 1'S                      ,18
CANVITA VITAMIN D 1000IU 100'S TAB                ,90
"CARBO GASTRONATURAL CAP 30""S                      ",41
CARDINEB 5MG TAB 30'S                             ,39
CARDINEB 5MG TAB 30'S                             ,39
CARDIOPRIL 2.5MG CAP 28'S                         ,67
CARDIOPRIL 5MG CAP 28'S                           ,67.5
"CARDIOVOX TAB 30""S                                ",45.25
CARTICURE PLUS SACHETS 30'S                       ,375
CARTIFER TAB 30'S                                 ,39
CARTILOMEGA CAP 30'S                              ,95.55
CARTIMAX TAB 30S (02392)                          ,120
CEBACT 1000MG INJ IM/IV                           ,47
CECLOR 250MG SUSP 75ML                            ,42
CECLOR MR 500MG TAB 10'S                          ,43
CEELIN DROPS 30ML                                 ,22
CEELIN PLUS DROPS 30ML                            ,30
CEELIN PLUS SYRUP 120ML                           ,43
CEELIN PLUS SYRUP 250ML                           ,68
CEELIN SYRUP 120ML                                ,27
CEELIN SYRUP 250ML                                ,51
CEFIM 100MG SUSP 60ML                             ,22
CEFIM 400MG CAP 6S                                ,79
CEFIX 100MG/5ML SUSPENSION 30ML                   ,20.5
CEFIX 100MG/5ML SUSPENSION 60ML                   ,37.5
CEFIX 200MG CAP 8'S                               ,47
CEFIX 400MG CAP 5'S                               ,57
CEFIX 400MG CAP 5'S                               ,57
CEFIX 400MG CAP 6'S                               ,68.5
CEFODOX 100MG/5ML SUSP 50ML                       ,45.5
CEFODOX 200MG TAB 10'S                            ,70
CEFPO 200MG TAB 14'S                              ,49
CEFPROZ 125MG/5ML SYRUP 50ML                      ,24.5
CEFPROZ 250MG/5ML SUSP 100ML                      ,68.5
CEFPROZ 250MG/5ML SUSP 50ML                       ,42
CEFPROZ 500MG TAB 15'S                            ,96.5
CEFTRIAXONE TABUK 1G IM 1'S                       ,48.5
CEFUTIL 500MG TAB 10'S                            ,62.5
CEFUZIME 500MG TAB 10'S                           ,73
CEFUZIME 500MG TAB 15'S                           ,95
CELDOL 200MG TAB 30'S                             ,49
CELEBREX 100MG CAP 20'S                           ,55.5
CELEBREX 200MG CAP 30'S                           ,123
CEPODEM 200MG TAB 10S                             ,36.5
CERAZETTE 0.075MG TAB 28'S                        ,17.5
CEROXIM 500MG TAB 10'S                            ,68.5
CHESTEEZ COUGH SYRUP 100ML                        ,22
CHLOROCET SOLUTION SPRAY 100ML                    ,19
CHLOROHISTOL SYRUP 100ML                          ,7.5
CHOLITOMEB 10MG TAB 30'S (EZETIMIBE)              ,86.5
CIATUFF 20MG TAB 4S (TADALAFIL)                   ,57.5
CICASILVER OINTMENT 50ML                          ,121.9
CICASILVER SPRAY 125ML                            ,140
CIFLOX 500MG TAB 10'S                             ,68
CILVAS 10MG TAB 30'S (CLINIDIPINE)                ,85.5
CINFAHELIX COUGH SYRUP 100ML                      ,42
CINFALAIR 10MG TAB 28'S                           ,73
CINFALAIR 4MG GRANULES SACHETS 28'S               ,110
CIPROBAY 500MG TAB 10'S                           ,116
CIPROBAY HC OTIC DROPS 10ML                       ,47
CIPRODAR 500MG TAB 10'S                           ,64
CIPRODAR XL 1000MG TAB 7'S                        ,52
CIPROGEN 500MG TAB 10'S                           ,41
CIPROMAX 500MG TAB 10'S                           ,62.5
CIPROMAX 750MG TAB 10'S                           ,64.5
CIPROPHARM 500MG TAB 10'S                         ,47
CLARA 10MG TAB 10S                                ,17.5
CLARA 5MG/5ML SYRUP 100ML                         ,20.5
CLARIDAR 500MG TAB 14'S                           ,55
CLARIGLEN 500MG TAB 14'S                          ,77
CLARIMAC 500MG TAB 14'S                           ,51
CLARINASE TAB 14'S                                ,29.5
CLARITINE 10MG TAB 10'S                           ,20.5
CLARITINE 10MG TAB 30'S                           ,50
CLARITINE CHILD SYRUP 120ML (GRAPES)              ,31
CLARITT 500MG TAB 14'S                            ,57.5
CLARITT XL 500MG TAB 7'S                          ,49.5
CLARIVA-500MG TAB 14'S                            ,46
CLAVODAR 1GM TAB 14'S                             ,60.5
CLAVODAR 625MG TAB 20S                            ,59
CLAVODAR FORTE 457MG SYRUP 70ML                   ,22.5
CLAVOMOX 1GM TAB 14'S                             ,45
CLEAR EYES NATURAL TEARS DROPS 15ML               ,26
CLEAR EYES REDNESS RELIEF EYE DROP 15ML           ,25
CLEXANE 80MG/0.8ML INJECTION 2'S                  ,69
CLINIJEL GEL 82GM                                 ,30
CLODERM CREAM 25GM                                ,10
CLODERM OINT 25GM                                 ,10
CLOFEN 12.5MG SUPPOSITORIES 10'S                  ,9
CLOFEN 75MG/3ML INJECTION 50'S                    ,168
CLOFEN CREAMAGEL 20GM                             ,10
CLOFEN CREAMAGEL 50GM                             ,16.5
CLORACEF MR 500MG TAB 10S                         ,26
CLOVACAINE SOLUTION 15ML                          ,20
CMC LUVIS EYE DROPS 10ML                          ,45
"CO-AMVASC 10/160MG TAB 28""S                       ",76.5
"CO-AMVASC 10/320MG TAB 28""S                       ",111
"CO-AMVASC 5/160MG TAB 28""S                        ",69
"CO-AMVASC 5/320MG TAB 28""S                        ",95.5
CO-AMVASC HCT 10/160/25MG 28'S                    ,65.5
CO-AMVASC HCT 5/160/12.5MG 28'S                   ,56
CO-AMVASC HCT 5/160/25MG 28'S                     ,56
CO-ANGIOVAN 160/12.5MG TAB 30'S                   ,67
CO-ANGIOVAN 80/12.5MG TAB 30'S                    ,58
COAPROVEL 150MG/12.5MG TAB 28'S                   ,103
COARTIL 4MG+10MG TAB 30'S                         ,55
COARTIL 4MG+5MG TAB 30'S                          ,53
COARTIL 8MG+10MG TAB 30'S                         ,64.5
COARTIL 8MG+5MG TAB 30'S                          ,73
"COBAL 500MG TAB 30""S                              ",25
CODELEVE SYRUP 120ML                              ,25
COLAS COLIC INFANT DROPS 10ML                     ,187.5
COLDIFED 30MG 1.25MG/5ML SYRUP 120ML              ,7
COLDIFED-P 30MG 1.25MG 120MG/5ML SYRUP 120ML      ,10
COLIDEX PROBIOTIC DROP 7ML                        ,79.8
COLLOMAK SOLUTION 10ML                            ,22
COLMACYN 0.5MG TAB 30'S                           ,28.5
COLPERMIN CAP 20'S                                ,26
COMBI FIZZ EFF TAB 24'S                           ,30
COMBIGAN EYE DROPS SOLUTION 5ML                   ,94
COMOX LIFE 1GM 14'S                               ,49
COMOX LIFE 625MG 20'S                             ,33.5
CONCOLIFE 2.5 MG TAB 28'S                         ,8.5
CONCOLIFE 5MG TAB 28'S                            ,12.5
CONFIDO TABLETS 120'S                             ,30.5
CONJYCLEAR EYE DROP 5ML                           ,23.5
CONJYCLEAR FORTE EYE DROPS 5ML                    ,41.5
CONSTANTA COFFEE SRIM S/F SACHE 15GM X 12'S       ,45
CONTUSIN GEL 45GM (HERBAMED)                      ,67.5
CO-OLMEPRESS 20MG/12.5MG TAB 28'S                 ,40
COQ FORTE CAP 30'S (GELTEC)                       ,120
COQ FORTE CAP 30'S (GELTEC)                       ,120
CORNEX GEL 15GM                                   ,37
"CORONIS 6.25MG TAB 28""S (CARVEDILOL)              ",10.5
COSOPT EYE DROPS 5ML                              ,87
COSVAL PROPOLINA SPRAY 15ML                       ,66
COSYREL 5MG/10MG TAB 30S                          ,123.5
CO-TABUVAN 80MG/12.5MG FC TAB 30'S                ,57.5
COUGHNAL COUGH SYRUP 100ML                        ,27
COVAS 16MG TAB 28'S                               ,37
COVERAM 10/10MG TAB 30'S                          ,162
COVERAM 5/10MG TAB 30'S                           ,152.5
COVERAM 5/5MG TAB 30'S                            ,151
COVERSYL 10MG TAB 30'S                            ,123.5
COVERSYL 5MG TAB 30'S                             ,80
COXIB 200MG CAPSULES 10'S                         ,32.5
COXIB 200MG CAPSULES 30'S                         ,86
COXICAM 15MG TAB 10'S                             ,19
COXICAM 7.5MG TAB 30'S                            ,17
COXORIB 200MG CAP 30'S                            ,49
COXPAN 200MG CAP 10'S                             ,18.5
COXPAN 200MG CAP 30'S                             ,49
CRANBIOTIX CAP 30'S (QUEST)                       ,109
CRANMED TABLETS 30'S                              ,80
CRESTOCAN 10MG TAB 30'S                           ,70
CRESTOCAN 20MG TAB 30'S                           ,115
CRESTOCAN 5MG TAB 30'S                            ,55
CREVASTIN 10MG TAB 28'S                           ,48
CREVASTIN 20MG TAB 28S                            ,76.5
CRIPPLE CREAM 75GM                                ,85
CROMA OPTHALMIC SOLUTION 10ML                     ,26.5
CUFLEVE SYRUP 120ML                               ,30
CUIRE DIGITAL THERMOMETER                         ,25
CURAM 1000MG TAB 14'S                             ,89
CURAM 625MG TAB 20S                               ,82
CYSTERNA TABLET 60'S                              ,157.5
CYSTERNA TABLET 60'S                              ,157.5
CYSTOLVON INHALATION AMPOULES 10X10ML             ,315
CYSTONE ES TAB 60'S                               ,65.5
CYSTONE TABLETS 60'S                              ,13
CYTEAL SOLUTION 500ML                             ,50
D SPRAY 400IU SPRAY 15ML                          ,75
D SPRAY 400IU SPRAY 15ML                          ,75
DAFLON 500MG TAB 30'S                             ,38
DALMAN AQ NASAL SPRAY                             ,30.5
DAMINE 400 IU DROPS 30ML                          ,49.99
DANDAFIVE 5MG TAB 28'S                            ,226
DANDASHA 20MG TAB 12'S                            ,351.5
DANDASHA 20MG TAB 4'S                             ,129
DANDASHA 20MG TAB 4'S                             ,129
DAROXIME 500MG TAB 10'S                           ,62.5
D-CAL TAB 30'S                                    ,39
D-CURA 25000 IU FLAPULES 4'S (CHOLECALCIFEROL)    ,26.5
DECOZAL 0.05% NASAL DROPS 10ML CHILDREN           ,5.5
DECOZAL 0.05% NASAL SPRAY 10ML                    ,5.5
DECOZAL 0.1% NASAL DROPS 10ML ADULTS              ,5.5
DEEP FREEZE COLD GEL 100GM                        ,33.5
DEEP FREEZE COLD PATCH 1'S                        ,10
DEEP FREEZE COLD SPRAY 150ML                      ,34
"DEEP HEAT BACK PATCH 2""S                          ",36
DEEP HEAT MASSAGE ROLL ON LOTION 50ML             ,28
DEEP HEAT PATCH 1S                                ,10
DEEP HEAT PATCH 4S                                ,36
DEEP HEAT RUB 100GM                               ,21
DEEP HEAT RUB 35GM                                ,11
DEEP HEAT RUB 67GM                                ,15.5
DEEP HEAT SPRAY 150ML                             ,23
DEEP RELIEF GEL 100GM                             ,31
DELICE SOLUTION 50ML                              ,75
DEMELAN CREAM 20GM                                ,111.5
DENTIRAX TEETHING GEL 15GM                        ,25
DEPLATT 75MG TAB 30'S                             ,131
DEPOJOY 30MG TAB 6'S                              ,61
DERIVA AQUEOUS GEL 30GM                           ,16
DESCITAM 120MG CHEW TAB 40'S                      ,55
DESCONTRAN 500MG+2MG TAB 20'S                     ,25.5
DESLAREX 5MG TAB 20'S                             ,23
DESLODIN 5MG TAB 30S                              ,14
